barid,taxid,name,zip,date,gross
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-01-01,419912
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-02-01,320869
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-03-01,267670
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-04-01,265292
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-05-01,292708
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-06-01,268223
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-07-01,259766
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-08-01,263885
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-09-01,282803
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-10-01,284605
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-11-01,302118
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2004-12-01,373203
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-01-01,315988
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-02-01,295326
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-03-01,281271
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-04-01,294552
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-05-01,329798
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-06-01,309665
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-07-01,238101
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-08-01,311732
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-09-01,224080
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-10-01,305500
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-11-01,332521
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2005-12-01,418287
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2006-01-01,338415
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2006-02-01,363403
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2006-03-01,343597
355,MB153105,"PAPPAS BROS STEAKHOUSE",77057,2006-04-01,300724
