barid,taxid,name,zip,date,gross
1520,MB260528,CATBIRDS,77006,2004-01-01,31035
1520,MB260528,CATBIRDS,77006,2004-02-01,28792
1520,MB260528,CATBIRDS,77006,2004-03-01,29091
1520,MB260528,CATBIRDS,77006,2004-04-01,25981
1520,MB260528,CATBIRDS,77006,2004-05-01,29173
1520,MB260528,CATBIRDS,77006,2004-06-01,28684
1520,MB260528,CATBIRDS,77006,2004-07-01,31147
1520,MB260528,CATBIRDS,77006,2004-08-01,30472
1520,MB260528,CATBIRDS,77006,2004-09-01,27044
1520,MB260528,CATBIRDS,77006,2004-10-01,31247
1520,MB260528,CATBIRDS,77006,2004-11-01,27347
1520,MB260528,CATBIRDS,77006,2004-12-01,31822
1520,MB260528,CATBIRDS,77006,2005-01-01,32177
1520,MB260528,CATBIRDS,77006,2005-02-01,27339
1520,MB260528,CATBIRDS,77006,2005-03-01,32386
1520,MB260528,CATBIRDS,77006,2005-04-01,29074
1520,MB260528,CATBIRDS,77006,2005-05-01,31389
1520,MB260528,CATBIRDS,77006,2005-06-01,35118
1520,MB260528,CATBIRDS,77006,2005-07-01,33453
1520,MB260528,CATBIRDS,77006,2005-08-01,32355
1520,MB260528,CATBIRDS,77006,2005-09-01,32503
1520,MB260528,CATBIRDS,77006,2005-10-01,34962
1520,MB260528,CATBIRDS,77006,2005-11-01,32169
1520,MB260528,CATBIRDS,77006,2005-12-01,37291
1520,MB260528,CATBIRDS,77006,2006-01-01,36986
1520,MB260528,CATBIRDS,77006,2006-02-01,33467
1520,MB260528,CATBIRDS,77006,2006-03-01,36391
1520,MB260528,CATBIRDS,77006,2006-04-01,33151
1520,MB260528,CATBIRDS,77006,2006-05-01,34432
1520,MB260528,CATBIRDS,77006,2006-06-01,31573
1520,MB260528,CATBIRDS,77006,2006-07-01,30542
1520,MB260528,CATBIRDS,77006,2006-08-01,32629
1520,MB260528,CATBIRDS,77006,2006-09-01,35785
1520,MB260528,CATBIRDS,77006,2006-10-01,37023
1520,MB260528,CATBIRDS,77006,2006-11-01,34871
1520,MB260528,CATBIRDS,77006,2006-12-01,39994
1520,MB260528,CATBIRDS,77006,2007-01-01,34139
1520,MB260528,CATBIRDS,77006,2007-02-01,31994
1520,MB260528,CATBIRDS,77006,2007-03-01,39080
1520,MB260528,CATBIRDS,77006,2007-04-01,33817
1520,MB260528,CATBIRDS,77006,2007-05-01,36195
1520,MB260528,CATBIRDS,77006,2007-06-01,40432
1520,MB260528,CATBIRDS,77006,2007-07-01,42219
1520,MB260528,CATBIRDS,77006,2007-08-01,42544
1520,MB260528,CATBIRDS,77006,2007-09-01,34840
1520,MB260528,CATBIRDS,77006,2007-10-01,35308
1520,MB260528,CATBIRDS,77006,2007-11-01,42704
1520,MB260528,CATBIRDS,77006,2007-12-01,45972
1520,MB260528,CATBIRDS,77006,2008-01-01,37670
1520,MB260528,CATBIRDS,77006,2008-02-01,38699
1520,MB260528,CATBIRDS,77006,2008-03-01,45116
1520,MB260528,CATBIRDS,77006,2008-04-01,39097
1520,MB260528,CATBIRDS,77006,2008-05-01,48479
1520,MB260528,CATBIRDS,77006,2008-06-01,42851
1520,MB260528,CATBIRDS,77006,2008-07-01,39192
1520,MB260528,CATBIRDS,77006,2008-08-01,45383
1520,MB260528,CATBIRDS,77006,2008-09-01,43589
1520,MB260528,CATBIRDS,77006,2008-10-01,48430
1520,MB260528,CATBIRDS,77006,2008-11-01,44831
1520,MB260528,CATBIRDS,77006,2008-12-01,42282
1520,MB260528,CATBIRDS,77006,2009-01-01,39214
1520,MB260528,CATBIRDS,77006,2009-02-01,37940
1520,MB260528,CATBIRDS,77006,2009-03-01,45183
1520,MB260528,CATBIRDS,77006,2009-04-01,45338
1520,MB260528,CATBIRDS,77006,2009-05-01,48761
1520,MB260528,CATBIRDS,77006,2009-06-01,45499
1520,MB260528,CATBIRDS,77006,2009-07-01,49363
1520,MB260528,CATBIRDS,77006,2009-08-01,46909
1520,MB260528,CATBIRDS,77006,2009-09-01,42846
1520,MB260528,CATBIRDS,77006,2009-10-01,57481
1520,MB260528,CATBIRDS,77006,2009-11-01,48367
1520,MB260528,CATBIRDS,77006,2009-12-01,58090
1520,MB260528,CATBIRDS,77006,2010-01-01,48518
1520,MB260528,CATBIRDS,77006,2010-02-01,41632
1520,MB260528,CATBIRDS,77006,2010-03-01,52388
1520,MB260528,CATBIRDS,77006,2010-04-01,53882
1520,MB260528,CATBIRDS,77006,2010-05-01,54853
1520,MB260528,CATBIRDS,77006,2010-06-01,51160
1520,MB260528,CATBIRDS,77006,2010-07-01,47175
1520,MB260528,CATBIRDS,77006,2010-08-01,44459
1520,MB260528,CATBIRDS,77006,2010-09-01,43478
1520,MB260528,CATBIRDS,77006,2010-10-01,51868
1520,MB260528,CATBIRDS,77006,2010-11-01,42287
1520,MB260528,CATBIRDS,77006,2010-12-01,50978
1520,MB260528,CATBIRDS,77006,2011-01-01,50451
1520,MB260528,CATBIRDS,77006,2011-02-01,46403
1520,MB260528,CATBIRDS,77006,2011-03-01,50728
1520,MB260528,CATBIRDS,77006,2011-04-01,49429
1520,MB260528,CATBIRDS,77006,2011-05-01,53816
1520,MB260528,CATBIRDS,77006,2011-06-01,54632
1520,MB260528,CATBIRDS,77006,2011-07-01,51456
1520,MB260528,CATBIRDS,77006,2011-08-01,48304
1520,MB260528,CATBIRDS,77006,2011-09-01,48941
1520,MB260528,CATBIRDS,77006,2011-10-01,58893
